,text
494,"- Provide a forum for constructive presentation and discussion of views pertaining to the above, which can be used by both students and administration alike a. Members of the council: - Chief Editor, Insight – 2 posts"
495,"- Web Nominee, Insight - Design Nominee, Insight b. Selection procedure of the Council: - Nominations would be called for all other posts under this council - The Chief Editors are selected by its panel of Faculty-In-Charge through a process ratified by the Dean of Student Affairs with inputs from the outgoing Chief Editors."
496,"- The new Chief Editors shall choose the two nominees mentioned above in consultation with the Faculty-In-Charge. c. Eligibility criteria for the posts mentioned above: - The General Eligibility criteria mentioned in Clause 7, Rules for serving a Gymkhana Office Bearer shall apply."
497,For Chief Editors the following will be the eligibility criteria: - UG: Should have completed at least 5 semesters in the institute - PG: Should have completed at least 1 semester in the institute
498,For the Nominee the following will be the eligibility criteria: - UG: Should have completed at least 1 semester in the institute - PG: Should have completed at least 1 semester in the institute
499,"d. Basic duties of Chief Editors: Page | 72 - The Chief Editors of Insight are responsible for the content that goes into any output from Insight; final decisions regarding the topics/areas to be covered, and proper and timely coverage of the same are taken by them."
500,- They are expected to decide the areas in consultation with their team and then co-ordinate with them in order to ensure efficient handover of material to the design and layout nominee.
501,"- Their functions therefore, are: Decide on areas/topics/incidents to be covered Co-ordinate the work of the team to ensure quality coverage of the same Supervise the layout of the print issue Proofread the articles before dispatch of material for printing Ensure timely printing and distribution of the print issue Ensure timely updates on the website and other online portals"
502,1. Decide on areas/topics/incidents to be covered 2. Co-ordinate the work of the team to ensure quality coverage of the same 3. Supervise the layout of the print issue 4. Proofread the articles before dispatch of material for printing
503,"5. Ensure timely printing and distribution of the print issue 6. Ensure timely updates on the website and other online portals e. Basic duties of Web Nominee - He/She is responsible for designing and maintaining Insight’s website and other online portals. Apart from this, he/she is also responsible for assisting the Chief Editors in carrying out online publicity through development of applications and in any other roles as may be required. f. Basic duties of Design Nominee"
504,"- He/She is responsible include layout of the print issue, design of publicity posters and other design roles as may be required. It is to be noted, however, that all students of this institute are free to become a part of the team, in a capacity that they desire and the Chief Editors deem fit."
505,"29 SECTION X- HOSTEL COUNCIL The Hostel Council strives to make the stay of the students in campus comfortable, enjoyable and memorable. It aims at maintaining and improving the hostel infrastructure. It conducts various events at the hostel level in cultural, sports and technical sphere and ensures participation in the"
506,"Inter-hostel Cultural, Sports and Tech General Championship. It represents the hostels in the sub- committees of Gymkhana. a. Members of the Council: - Hostel General Secretary - Warden Nominee - Hostel Maintenance Councilor"
507,- Hostel Mess Councilor - Hostel Cultural Councilor - Hostel Sports Councilor - Hostel Tech Councilor - Hostel System Administrator - Hostel Secretaries – Up to a maximum of 30 posts
508,"b. Selection procedure of the Council: - The General Secretary, Hostel Maintenance Councilor, Hostel Mess Councilor, Hostel Cultural Councilor, Hostel Sports Councilor, Hostel Tech Councilor, Hostel System Administrator and Hostel Secretaries should be elected by General Elections conducted in the hostel. The electorate would comprise of all the hostel residents, who are bona fide students of the institute."
509,- The Warden of the hostel will appoint the Warden Nominee in consultation with the new Hostel General Secretary. - An election committee should be appointed by the Warden in consultation with the General Secretary and Warden Nominee for conducting Hostel Elections.
510,"- In case of an uncontested post, the Warden in consultation with the Hostel General Secretary shall nominate a student to the post. - In case of any exceptions to the above rules or disputes, the decision of the Warden will be final and binding."
511,- All members of Hostel Council are answerable and accountable in the Hostel GBM and can be impeached as per the procedure decided by the Warden. - The basic rules for conducting Institute Elections and Institute GBM may be taken as reference for Hostel Elections and Hostel GBM.
512,"c. Eligibility criteria for the posts mentioned above: - The General Eligibility criteria mentioned in Clause 7, Rules for serving as a Gymkhana Office Bearer shall apply. - For all the Hostel Council posts, the applicant should be a resident of the hostel."
513,For General Secretary the following will be the eligibility criteria: - UG: Should have completed at least 5 semesters in the institute - PG: Should have completed at least 1 semester in the institute
514,"For Hostel Maintenance Councilor, Hostel Mess Councilor, Hostel Cultural Councilor, Hostel Sports Councilor, Hostel Tech Councilor and Hostel System Administrator the following will be the eligibility criteria: - UG: Should have completed at least 3 semester in the institute"
515,- PG: Should have completed at least 1 semester in the institute - Any hostel resident and bona fide student of IIT Bombay can apply for the post of Hostel Secretaries.
516,"- In case of any exceptions to the above rules or disputes, the decision of the Warden will be final and binding. d. Basic duties of a Hostel General Secretary: - He/She shall be the foremost representative at the hostel level and shall address all issues pertaining to hostel life of students in the concerned hostel in institute."
517,- He/She shall coordinate with various councilors to supervise all the council members work to achieve the objectives of Hostel Council. - He/She shall be a member of and represent his hostel in Hostel General Secretaries’ Committee (HGSC).
518,- He/She shall conduct at least one Hostel GBM per semester. - He/She shall present appraisal reports regularly to the Warden. e. Basic duties of a Warden Nominee: - He/She shall assist the Hostel General Secretary in fulfilling his basic duties.
519,"- He/She shall take over the duties of the Hostel General Secretary, in his absence. - He/She shall ensure that Hostel GBM is conducted at least once a semester. - He/She shall chair the Hostel GBM in absence of the Warden."
520,f. Basic duties of a Hostel Councilor: - He/She shall supervise all the activities in his/her sphere and allocate responsibilities to the Hostel Secretaries to achieve objectives of Hostel Council. - The Hostel Maintenance Councilor shall be a member of and represent his hostel in the Maintenance Committee.
521,- The Hostel Mess Councilor shall be a member of and represent his hostel in the Mess Committee. - The Hostel Cultural Councilor shall be a member of and represent his hostel in the Cultural Committee.
522,- The Hostel Sports Councilor shall be a member of and represent his hostel in the Sports Committee. - The Hostel Tech Councilor shall be a member of and represent his hostel in the Tech Committee.
523,- The Hostel System Administrator shall be a member of and represent his hostel in the Network and Computer Committee. g. Basic duties of a Hostel Secretary: - He/She shall aim at fulfilling his duties as specified by the Hostel Council to the best of his abilities.
524,"- He/She shall strive to achieve the objectives of the Hostel Council. 30 SECTION XI- ABHYUDAY Abhyuday is IIT Bombay's annual social festival. It is conducted during the month of January. It aims at conducting various impactful events, exhibitions, lectures, workshops and competitions to instill a sense of responsibility in the youth towards the society and to create awareness about basic human rights."
525,"a. Members of the Council: - Overall Coordinators, Abhyuday – 2 posts - Core Team, Abhyuday – Up to a maximum of 22 posts b. Selection procedure of the Council: - The Overall Coordinator (OC), Abhyuday will be elected in the Institute Elections, for which electorate consists of all bona fide students of IIT Bombay."
526,- Nominations would be called for selection of the Core Team. - The new Overall Coordinators will appoint the Core Team in consultation with the concerned Faculty-In-Charge. c. Eligibility criteria for the posts mentioned above:
527,"- The General Eligibility criteria mentioned in Clause 7, Rules for serving as a Gymkhana Office Bearer shall apply. For Overall Coordinator, Abhyuday: - UG: Should have completed at least 5 semesters in the institute"
528,"- PG: Should have completed at least 1 semester in the institute In addition to this, the applicant must have held a Gymkhana-recognized positions in one of the 4 Independent bodies, namely, Abhyuday, E-Cell, Mood Indigo and Techfest."
529,"For Abhyuday Core Team Member: - UG: Should have completed at least 3 semester in the institute - PG: Should have completed at least 1 semester in the institute d. Basic duties of the Overall Coordinator (OC), Abhyuday:"
530,"- He/She shall coordinate all the activities of Core Team in all matters concerning Abhyuday, and shall brief from time to time, the concerned Faculty-In-Charge. - He/She in consultation with Faculty-In-Charge and Core Team shall review the progress of events to be held at the festival in the light of the proposals made and modify (if necessary) the plan of core team, to meet the objectives of Gymkhana."
531,- He/She will lay down a team structure and delegate basic responsibilities to the all the members of the core team. - He/She will be a member of the SGEC. - He/She will conduct at least one GBM in the whole year in the format stated.
532,"- He/She shall submit appraisal reports regularly to concerned Faculty-In-Charge. e. Basic duties of a Core Team Member, Abhyuday: - He/She will be in charge of his/her respective spheres and objectives under their purview as specified by the Overall Coordinators."
533,- He/She shall do to the best of his abilities the duties as specified. - He/She shall be in charge of all activities in his/her field and will conduct them with diligence as far as possible.
534,"- He/She shall attend the GBM and is answerable. - He/She is responsible for proper knowledge transfer to the next year’s core team. 31 SECTION XII- SAATHI Saathi is the LGBTQ+ resource body of IIT Bombay and part of the student Gymkhana. It is run purely by students, with a panel of professors serving as Faculty Advisors for Saathi. It endeavours to achieve its vision through online presence and by organizing sensitization and interactive events. The events include a wide range panning from movie screenings to interactive talks. Saathi has the following primary purposes ,among others:"
535,"- Saathi is committed to serving the needs of lesbian, gay, bisexual, transgender, queer and questioning students by creating a “positive space” for LGBTQ+ people to discover and come to terms with themselves in a safe, comforting and confidential environment."
536,"- In keeping with the institute's belief in the dignity and worth of all members of our campus community, Saathi exists to support and affirm students regardless of sexual orientation or gender identity/expression and envisions a campus where LGBTQ members feel welcome and included in every aspect of the IIT Bombay community."
537,"- Saathi shall strive to educate and enhance understanding, acceptance and awareness regarding LGBTQ issues and concerns among the campus community. - Saathi shall work to promote equality and to eliminate heteronormativity, homophobia, gender identity oppression and end discrimination in all its forms. Saathi shall also strive to provide a safe and accessible space to those individuals who have faced discrimination, harassment, or intimidation because of their sexual orientations and/or gender identities/expressions."
538,"- Saathi shall advocate for institutional policy changes and program development that recognize the needs and rights of lesbian, gay, bisexual and transgender individuals. - In accordance with the institute's mission to prepare students to become contributing, compassionate citizens of the society, Saathi encourages all members of the campus community to participate in our efforts to promote social justice and eliminate discrimination in all its forms."
539,Members of the council - Overall Coordinator - 1 Post - Convener - 3 Posts - PG Convener - 1 Post (i) Only one PG student can hold the post of a convener provided the PG convener position is already occupied. This is to ensure that PG and UG students are equally represented. (ii) Any member of the council/saathi google group can move impeachment and it will be voted upon by the members of the council in consultation with the Faculty In Charge
540,Selection Procedure for the Members of the Council - Overall Co-ordinator Nominations will be called from the institute at the end of the tenure 1. Nominations will be called from the institute at the end of the tenure
541,2. Members of the Saathi council can self nominate themselves for the position of the forthcoming year’s Overall Co-ordinator 3. The Overall Co-ordinator will be selected by the panel consisting of the Faculty In Charge and the ex- council members in a closed election in a process ratified by the Dean of Student Affairs (DoSA) Convener
542,4. Conveners will be selected by the outgoing council in consultation with the newly elected Overall Co-ordinator and the Faculty In Charge (i) The members of the previous council can re-select themselves as the nominees of the new
543,- Convener Conveners will be selected by the outgoing council in consultation with the newly elected Overall Co-ordinator and the Faculty In Charge (i) The members of the previous council can re-select themselves as the nominees of the new
544,council for not more than two continuous terms Eligibility - Overall Co-ordinator UG : Should have completed at least 3 semesters in the institute PG : Should have completed at least 1 semester in the institute The candidate should not have any active backlogs
545,- Convener UG : Should have completed at least 1 semester in the institute PG : Should have completed at least 1 semester in the institute 1. UG : Should have completed at least 3 semesters in the institute
546,2. PG : Should have completed at least 1 semester in the institute 3. The candidate should not have any active backlogs Convener 4. UG : Should have completed at least 1 semester in the institute
547,5. PG : Should have completed at least 1 semester in the institute Membership Anyone satisfying the following criteria is eligible to become a member of Saathi : - The person should be holding a valid IIT Bombay identity card or a valid IIT Bombay Alumni identity card issued by the Alumni Association
548,Scope of work of the members of the council - The Overall Co-ordinator shall represent Saathi for basic administrative purposes and other official communications - The Overall Co-ordinator shall preside over the meetings
549,"- The plans and activities shall be decided and executed by the conveners in consultation with the Overall Co-ordinator - Basic activities such as Gender and Sexuality 101, Queer L!T Live (Mumbai Pride Month) should be compulsorily conducted"
550,"Name, Terms, Affiliations - The group / organisation shall be referred to as “Saathi, IIT Bombay ” - In the document, “LGBTQ+” shall stand for Lesbian, Gay, Bisexual, Transgender,Queer and Questioning; “The institute” or “IITB” shall refer to IIT Bombay; “We” or “The Group” shall refer to Saathi; “Queer” shall refer to people with sexual orientations and/or forms of gender identities/expressions that are not wholly encompassed under any of theterms in LGBTQ+ and different from cisgender heterosexuality"
551,"- Saathi shall be an independent body consisting of students, faculty, staff, etc. from IIT Bombay and shall be affiliated to IIT Bombay as it caters exclusively to the needs of the campus community"
552,"Anti-Discriminatory and Privacy Policy - Saathi does not discriminate against anyone on the basis of religion, caste, creed, race, ethnicity, colour, nationality, class, disability, gender, gender identity, gender expression or sexual orientation"
553,"- All members of Saathi shall respect the privacy and anonymity of every other member of the group Amends and Repeals - Considering the varying nature of the environment relating to LGBTQ issues, this constitution shall be revisited every 3 years and amended accordingly"
554,- The quorum for amendments or impeachments is defined to be a two thirds majority among the members physically present during the meetings ---------------------------------------------------END-----------------------------------------------------------
555,"I.I.T. POWAI BRANCH, MUMBAI Dear Student, We on behalf of STATE BANK OF INDIA congratulate you on having secured admission in this esteemed and prestigious institute IIT, Bombay and wishes you a BRIGHT PROSPEROUS career ahead."
556,We are located inside of the institute and keenly look forward to take care of all your banking needs under one roof during your stay here at IIT Mumbai. We offer an exclusive product “SBI Scholar Loan” for IIT students seeking loan assistance.
557,SALIENT FEATURES OF THE PRODUCT		 Security & Margin	No collateral security and NIL Margin/Own Source	 Interest Rate	6.65	 Processing fees	NIL	 Extra Expenses Covered	Extra 25% of Loan amount upto Max. 3.00 Lakhs (for other course expenses including Foreign Exchange Programme.)	
558,Repayment terms	No EMI during moratorium period (ie. course period + 12mths) Repayment tenure up to 15 years excluding moratorium period.	 Income Tax rebate	Income tax rebate for co-borrower (parents) on interest paid	
559,Interest subsidy	*During course period if family income is less than Rs.4.50 lakhs p.a. *Maximum Loan Amount Rs.7.50 Lakhs in such case.	 Reimbursement	Reimbursement of semester fees already paid (1st Sem.only).	
560,DOCUMENTS REQUIRED FOR “SBI SCHOLAR LOAN” (all self-attested only) 1. Application form with 3 photographs - Student & Parent 2. PAN Card & AADHAR Card : For student and parents 3. Proof of permanent residence: Passport/Electricity bill/Tel. Bill/Bank Stmt.(Certfd.)
561,4. Letter of admission (Offer Letter + Seat Confirmation + Entrance test Score card) 5. Copy of Passing Certificate + Mark sheets for all qualified Examinations till date. 6. Income proof of parent: (as below)
562,"Salaried	Businessmen / Self employed	Retd./Others	 Employee ID	 Valid License + Address proof  Crt. of Qualification(professional)	PPO & Pension Slips (for Pensioner)	 3 months latest salary slips	2yrs.ITR acknowledged by IT dept., GOI.	2yrs.ITR acknowledged IT dept., GOI. (if aplcbl.)	"
563,"2 yrs. Form 16 or 2 yrs. ITR ackwgd. by IT dept., GOI.	TDS Certificate (Form 16A, if applicable)	Income Certificate from apt. Govt. authority.	 6 months Sal. Bank a/c. stmt.	6 months Bank A/c. Statement	6 months Bank A/c. Stmt.	"
564,7. Original Sem. Fees paid Receipt with IITB. ID and Mess fee paid receipt with Letter from Warden (Bonafide) Please feel free to connect with us for any assistance on following official contacts: With Regards & Best wishes!
565,Shri. Vijay Varu: 8879592246	Email:sbi.01109@sbi.co.in	 WHATSAPP NO: 7013570910	Shri. Kaleem Baig : 7013570910	 Shri. Babishan Sharma (Mob. 9086006111) BRANCH MANAGER 022–25720204/0912 Email: sbi.01109@sbi.co.in
566,"Scholarship Calendar for UG scholarship (including M.Sc.) for the Academic year 2022­23 Applicable from programmes and batches*­ B.Tech, B.Des., B.S., Dual Degree (B.Tech+M.Tech), IDDDP from 2019 Batch onwards, B.S.+M.Sc. (2018 Batch onwards) and M.Sc. from 2021 Batch onwards"
567,Sr. No Parameter Date			 For Academic Year 2022­23 (Autumn & Spring)			 1	Issuance of office memorandum for scholarship	21 st July 2022 (Thursday) During Orientation	 2	Opening of Scholarship portal	16 th August 2022 (Tuesday)i.e.3 rd Monday of August (Next working day in case of holiday)	
568,3	Closing of Scholarship portal	29 th September 2022 (Thursday) midnighti.e. 45 days including the date of opening of the portal.	 4	Scrutinization	By November 1 st weeki.e. by 4­5 weeks after date of closing of Scholarship portal.	
569,5	Scholarship committee meeting	Any day during 11 th November 2022 (Friday) to 21 st November 2022 (Monday)i.e. During end­semester week.	 For Spring Semester 2022­23			 6	Issuance of office memorandum for scholarship & opening of portal	26 th December 2022 (Monday) i.e. 1st Day of Registration	
570,7	Closing of Scholarship portal	24 th January 2023 (Tuesday) midnight i.e. 30 days after opening of portal.	 8	Scrutinization	By 4 th Week of February 2023i.e. 4­5 weeks after date of closing of Scholarship portal	
571,9	Scholarship committee meeting	Any day during 15 th April 2023 (Saturday) to 25 th April 2023 (Tuesday)During end­semester week.	 * A calendar for new UG entrants of 2022­23 batch will be made separately.
572,"Scholarship Calendar for UG new entrants for the Academic year 2021-22 Applicable for programmes -B.Tech, B.Des., B.S., Dual Degree (B.Tech+M.Tech) Sr. No	Parameter	Date	 For Academic Year 2021-22 (Autumn & Spring)			"
573,1	Issuance of office memorandum for scholarship	24 th November 2021 (Wednesday)During Orientation	 2	Opening of Scholarship portal	20 th December 2021 (Monday)i.e.3 rd Monday of December	 3	Closing of Scholarship portal	2 nd February 2022 (Wednesday) midnighti.e. 45 days including the date of opening of the portal.	
574,4	Scrutinization	March 1 st weeki.e. by 4-5 weeks after date of closing of Scholarship portal.	 5	Scholarship committee meeting	Any day during 7th March 2022 (Monday) to 12th March 2022 (Saturday)i.e. During end-semester week.	
575,For Spring Semester 2021-22			 6	Issuance of office memorandum for scholarship & opening of portal	17th March 2022 (Thursday) i.e. 1st Day of Registration	 7	Closing of Scholarship portal	15th April (Friday) midnighti.e. 30 days after opening of portal.	
576,8	Scrutinization	By 16th May 2022i.e. 4-5 weeks after date of closing of Scholarship portal	 9	Scholarship committee meeting	Any day during 27th June 2022 (Monday) to 3rd July 2022 (Sunday)During end-semester week.	
577,"A comprehensive guide to the courses at IIT-B COURSE INFORMATION BOOKLET 2022-23 INDIAN INSTITUTE OF TECHNOLOGY, BOMBAY CONTENTS 1 REGISTRATION - 6   1.1 COURSE ADJUSTMENT - 6   1.2 DROPPING OF COURSES - 6"
578,  1.3 SEMESTER WISE REGISTRATION - 6 2 CATEGORY OF COURSES - 8   2.1 CORE COURSES - 8   2.2 MINOR COURSES - 8   2.3 HONOR COURSES - 9   2.4 ELECTIVES - 10
579,  2.5 ADDITIONAL LEARNING COURSES - 11   2.6 AUDIT COURSES - 11   2.7 SIT THROUGH - 12   2.8 SUPERVISED LEARNING PROJECT (SLP) - 12   2.9 IR LANGUAGE COURSES - 12 14 3 WHY SHOULD ONE TAKE UP A MINOR
580,18 4 WHY SHOULD ONE TAKE UP HONORS 19 5 TAGGING RULES 22 6 PREVIOUS YEAR MINOR CUTOFFS 22 6.1 2021-22 AUTUMN SEMESTER CUTOFFS 23 6.2 2021-22 SPRING SEMESTER CUTOFFS 25
581,7 REVIEWS: RESOBIN 27 8 IR LANGUAGE REVIEWS   8.1 JAPANESE - 27   8.2 GERMAN - 29 32 9 EQUIVALENT COURSES FOR CLEARING BACKLOG 10 FAQs - 33 34 11 SOME USEFUL NOTES
582,35 12 SOME USEFUL LINKS 36 13 REACHING THE ACADEMIC COUNCIL DISCLAIMER The information written in the booklet is only a guideline to the students to help them with their choices in the courses they make and also in the various important features of the Institute academic system. It may happen that the actual details of courses or rules mentioned in the booklet may face an amendment during the course of time. Please confirm the rules/details from relevant authorities before making any decisions. The Undergraduate Academic Council members can be contacted for this purpose (details shared on the last page of the booklet). You may also refer to the Undergraduate Rule book.
583,"PREFACE Dear Students, As a vertical of UGAC, it is our duty to bring you the right kind of resources and provide you with an intricately researched array of both old and new curricula that prevail in the institute. The Course Information Booklet, a product of the same ideology, shall open doors in the field of academics and help you make a choice beyond your core curriculum. This booklet includes information about various courses, like minors, electives, etc, that you can choose from, after the first year. We believe that since learning is a vital part of our lives as students, it is imperative that you opt for courses that will make the entire process of learning more affable. This booklet, therefore, strives to give you the information and exposure that you need to decide on taking any particular course. In today’s world of cutting-edge competition, where no single expertise is enough, we believe that this booklet is a complete guide to unearthing the interdisciplinary field and following a passion you couldn’t otherwise. We are open to suggestions and ideas from your side to improve this booklet. Hope you have a nice time reading it! Prapti Sao Institute Secretary of Academic Affairs Head – Student Support Services (2022-2023)"
584,"ACKNOWLEDGEMENTS We would like to thank Adit Akarsh, Ali Asgar Saifee, Aneesh Milind Bapat, Aryan Gupta, Bhavya Jain, Immanuel Williams, Jai Joabanputra, Khushi Gosalia, Prakriti Shetty, Puja Maitra, Rahul Shanbhag, Rwitaban Goswami, Sanjay Kareer, Shashank Inamdar, Siddhant Kolke, Tanul Gupta, Tanyut Sharma, Unnatee Pawar and Vatsal for writing the minor reviews. We are grateful to Abu Zubair, Aditya Iyengar, Ananya Burli, Aryaman Maithani, Aryan Gupta, Himansh Rathore, M Vishnu Sarkar, Mihir Vahanwala, Priyanka Beta and Suraj Sarvesha Samaga for writing the honors reviews. We express our gratitude to Aarushi Chaudhary, Aastha Kapoor, Bhuvan Agarwal and Tanirika Roy for giving their reviews on the HSS Electives. We would also like to mention Advaith Suresh, Divyashree Tambade, Namra Shah, Shivangi Sharma and Shreedhar Malpani for their contribution to Unconventional Course Reviews. We are pleased to have Sakshi Priya and Darade Vaibhav Vinayakrao sharing their valuable reviews on IR Languages. We would like to thank DevCom IITB for their immense support in shaping up ResoBin in its current form, In addition to this, we thank the UGAC Design team for bringing up this booklet in this amazing form. We would like to express our gratitude to all the department officials for their suggestions, efforts, and assistance. We also apologize to those in case we forgot to mention their name. Lastly, we are indebted to all the readers of this booklet for their constant support and motivation. Any suggestions for the further improvement of this booklet are always welcome!"
585,"CONTRIBUTORS UG ACADEMIC COUNCIL 2022-23 ISAA, Student Support Services Prapti Sao SSS Coordinators: Akshat Singh Shravya Suresh Ashwin Abraham Tushaar Jhamtani 1. REGISTRATION IIT Bombay follows a specialized credit-based semester system, therefore registration at the beginning of each semester is mandatory for you till you complete your program (lookout for the dates in the Academic Calendar). Without registration, any academic activity (course/seminar/project, etc.) that you undergo will not be counted towards the requirements of your degree."
586,1.1. COURSE ADJUSTMENT A student has the freedom of deletion/addition of one or more courses (after discussing and taking permission from the Fac-Ad) provided the total credits do not exceed the overload rule (discussed in Section 3) or fall below 18 credits by such adjustments. The last date for doing so is about 1 week after the commencement of the semester.
587,"1.2. DROPPING OF COURSES If a student finds their academic load too heavy, even after the date for course adjustment has passed, they may drop some courses out of the registered ones provided the minimum credit limit (18 credits) hold, after taking permission from the Fac-Ad. The last date for doing so is generally 20-30 days after the end of the mid-semester examination and is set in the academic calendar. Such dropping of courses results in a W grade in the transcript for that particular course."
588,1.3. SEMESTER WISE REGISTRATION You can register for the courses you intend to take during a given semester on the basis of the program for your discipline as given in your curriculum and as per the advice given by your Faculty Advisor (Fac-Ad). The Faculty Adviser is expected to discuss with the student their academic performance during the previous semester and decide the number and nature of the courses for which they can register during the semester within the framework of the guidelines as
589,"1. REGISTRATION approved by the Institute. You can check a particular semester’s curriculum on ASC. Follow the path: Academic --> All about courses --> Curriculum. Kindly note: From the third semester onwards, registration is dependent on"
590,"the Academic Standing of the student. The registration process (which is online) involves filling up an Online Course Registration Form (CRF) stating the courses and project/seminar etc, that the student proposes to complete during that semester as per the prescribed curriculum. All students having outstanding dues to the institute or a hostel shall not be permitted to register online."
591,"You can find a detailed guide on ASC and the registeration process in the ASC Video Series. 2. CATEGORY OF COURSES 2.1. CORE COURSES Core courses are those courses which you have to do compulsorily for obtaining your degree. These courses count towards your final degree in all respects and count in your CPI (Cumulative Performance Index). These courses are NOT optional and have to be completed within the stipulated duration of your coursework (4 or 5 years). They give you a lot of exposure to your own departmental subjects and research; They also have an elective component, details regarding which are explained in the section on electives."
592,"2.2. MINOR COURSES A Minor is an additional credential a student will earn if they do minimum 30 credits worth of additional learning in a discipline other than their major discipline. Many academic units in the Institute offer minors in their disciplines and prescribe a specific set of courses and/ or other activities like projects for earning a minor in that discipline. Note that courses equivalent in content to any of these specified courses from the same department can be taken as a minor course with the approval of the concerned HOD. After the completion of credits under the stipulated time period, a minor degree is awarded to the student. It is mentioned in the Degree Certificate ""Bachelor of Technology in xxx with Minor in yyy.” The fact will also be reflected in the transcript, along with the list of courses taken."
593,"Minor courses are allocated to students only through a pre-registration process before the start of every semester and the allocation for every minor course is done on the basis of the CPI of the student as the seats are limited in every minor course. You can opt for as many courses of your choice during the process of pre-registration (in particular preference order). You will be allotted the minor course based on your CPI and preference order after the pre-registration window closes. The waitlist that is maintained for the minor courses (for students who have missed out on the course of their choice) is also sorted on the basis of the CPI of the students, such that if any student who has got the minor"
594,"2. CATEGORY OF COURSES course drops it during the process of registration, the next student in the waitlist will get the minor course. Note - The only way to get a minor is through the pre-registration window. It would not be possible to register for a minor on the main registration window."
595,"Please refer to the UG Rulebook to check the eligibility criteria to register for minor courses. The pre-registration process for minors is explained in this video. 2.3. HONOR COURSES Honor is an additional credential a student will earn if they opt for the extra 24 credits (in some cases, 30) needed for this in their own discipline. The concerned department specifies the course requirements for earning the honors. An honor is like a specialization in your own discipline."
596,"Honor courses are either advanced-level courses in your discipline or are courses designed to give you more exposure to different areas of your discipline. This will be mentioned in the Degree Certificate as “Bachelor of Technology in xxx, with honors” on the successful accumulation of credits at the end of the program. The fact will also be reflected in the transcript, along with the list of courses, etc., taken."
597,Dual Degree students have to do the honors courses by default. They are considered as their core courses. honor courses do not count in your CPI other than for dual degree students.
598,"Please refer to the UG Rulebook to check the eligibility criteria to register for honor courses. 2. CATEGORY OF COURSES 2.4. ELECTIVES Every program (B.Tech/Dual degree/BS) in IIT Bombay will have its own curriculum defined, which will define your core courses and the total credit requirement for the award degree. According to your curriculum, your course completion may require doing courses of your own choice, wish and interest from:"
599,"Dept. of Humanities and Social Sciences All undergraduates are required to do a Humanities elective from the HSS department in a particular semester, depending on the department, and have to choose this elective from the following set:"
600,"HS 301 Philosophy HS 303	Psychology	 HS 305	Reading Literature	 HS 307 Sociology Your own department - Department Elective As per your curriculum, you may be required to choose a few courses (number varying across programs) of higher-level (Say 4xx or 5xx) from your department across a pool of courses put forward by your department. In some cases (varying across departments), you might be allowed to take up courses from other departments and tag them as a department elective. It is best to check up with your departments regarding the same."
601,"2. CATEGORY OF COURSES A department other than yours - Institute Elective As per your curriculum, you may be required to choose a few courses (number varying across programs) from a foreign department. Generally, you are free to choose any course out of your department as Institute electives. Departmental-based restrictions may be there for a few courses. Note: 1xx courses are generally not allowed to be taken as institute electives (except for some departments)."
602,"For IDC and SJMSOM courses, you can ask the Department General Secretary/ Department Undergraduate Committee of your department if they will allow a particular IDC / SJMSOM course to be tagged as an institute elective. All these electives are a part of the core curriculum"
603,"and will count in your CPI. 2.5. ADDITIONAL LEARNING COURSES Based on the academic standing of a student, there is an upper cap on the number of credits they can take. You can find details about academic standing in the UG Rulebook. Apart from core courses, a student can take some extra courses. Additional learning courses (ALCs) can be credited or audited. These ALC courses don’t constitute the core CPI/SPI of a student. The tag of such a course can be changed during the retagging period, which is explained later."
604,Note: Exceeding any of the criteria for credits is NOT admissible under any circumstances. 2.6. AUDIT COURSES Audit courses refer to the courses for which there are no credits; you want to
605,"complete the course simply for knowledge with no concern about a grade. Registrations for such courses are done along with the main registrations, with prior permission from the instructor. Only students belonging to categories I and II are permitted to ‘Audit’ a course during regular semesters and summer terms, and on can audit a maximum of two courses during their entire program."
606,"2. CATEGORY OF COURSES If completed, the course will be mentioned in the transcript as an ‘Audit.’ The instructor will award the ‘AU’ grade if the attendance is satisfactory and additional requirements as set out by the instructor are met. If the attendance and performance are not satisfactory, the instructor will NOT award any grade, and the student would be deregistered from the course. The “AU” grade doesn’t carry any grade point and is not included in the SPI/CPI calculations."
607,"2.7. SIT THROUGH There may be a case where you are really interested in a particular course but are unable to register for the same due to some constraints (generally happens with popular minor courses). However, you may be willing to sit in that course just for knowledge, without any privilege for credits or mention in the transcript. In that case, you can ask the faculty in charge’s for permission to 'sit through' that course."
608,"Note that there are no registrations for a Sit-Through. 2.8. SUPERVISED LEARNING PROJECT (SLP) Supervised Learning Project (SLP), also known as RnD in some departments, is a project-based course - generally for 6 credits, where a student can work for one entire semester on a project under a professor. It is not always necessary to do a project under a professor in your department. The professor you choose can be from a different department, but it is subject to rules and conditions laid down by your department."
609,"2.9. IR LANGUAGE COURSES International Relations (IR) language courses are the courses that are offered for the benefit of students as well as staff of IIT Bombay. These courses are offered in many languages such as Japanese, French, Italian and German."
610,You can contact the Institute Secretary International Relations (ISIR - UG) for more details about the IR language courses. 2. CATEGORY OF COURSES To summarise the above: Type of Course	Description	Effect on CPI	
611,Minors	30 credits worth of additional learning in a discipline other than your own major.	Don't count towards CPI	 Honors Electives	30 credits worth of additional learning in a discipline other than your own major.	Don't count towards CPI	
